unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude
7d08fc8a02d7b6eb9d38b6897162727c6840f005,6121a3cdc39285a23bc0084c872dbfe925444f2329e5acf8f19f2bbb9af9ab21411e86f1ca838879deb04a22283eedf30192fb4565a4239d3164e8cd5685c7b8,2014-10-03 07:15:00.000000 UTC,2014-10-03 07:15:00.000000 UTC,0,0.0,7.85,1.57,0.0,0.0,9.42,Credit Card,Chicago Elite Cab Corp.,,
84360ff141298778b257804bab8d5f3cd02b9c1c,54439f9e86489e7fe7392849f7c77a84376c4a61c1458f1c9e550470ec832a5e1f93f3ad0d0856ca3a578043ba10f7f0e3ba1ea65176b5dd70635c6a982ca40d,2014-09-14 07:45:00.000000 UTC,2014-09-14 07:45:00.000000 UTC,0,0.0,37.05,7.41,0.0,0.0,44.46,Credit Card,Chicago Elite Cab Corp.,,
153545d42603429468bd9478424672fe37e69439,ace613150343ec9584249a0595c0c35af8e99fad625adec983a32420c878b55b90e3d8a1432cc83f9bb06880794220afecdf30e99903b98e80f32395c77f1839,2014-10-19 02:15:00.000000 UTC,2014-10-19 02:15:00.000000 UTC,0,0.0,11.05,2.21,0.0,0.0,13.26,Credit Card,Chicago Elite Cab Corp.,,
5e33dde0d8096383f9473b020e372e1c081a15be,95d9e36dead9d2214abf08841ee39818c053ff98e616e45896bdba7b4110caafedcd9f6f937f3563fb07a3753ee28e6993ce90ee23be9b65fe7742ecdbd1acff,2014-10-09 14:30:00.000000 UTC,2014-10-09 14:30:00.000000 UTC,0,0.0,39.05,5.86,0.0,0.0,44.91,Credit Card,T.A.S. - Payment Only,,
47126003ffe5524c595bfa466d4e4dd3df43e185,db3201ea8993cc498ae4d86146a9c969a383a6013ae0034cbed01c396103d3c2a0d2845f2dee6b6e0590a91a832df36378f2e8209b434e30dd716fe061edf0e4,2014-10-02 19:15:00.000000 UTC,2014-10-02 19:15:00.000000 UTC,0,0.0,10.0,0.0,0.0,0.0,10.0,Credit Card,T.A.S. - Payment Only,,
552f75749794604de4c85f4d9eb663eb6da41c89,d7432a0e21930ae7e2a2adced1090ffe5c039f43d5e5a9beb02b2ef9deee1ce95f2710cd4b214be505d56e304c33284b2955298fb7af21b98901f6656e781c47,2014-11-04 15:00:00.000000 UTC,2014-11-04 15:00:00.000000 UTC,0,0.0,6.85,2.0,0.0,0.0,8.85,Credit Card,T.A.S. - Payment Only,,
49e63a423bd8117e6fe3357c5994c3ecd474cc62,ad45277450362defccc49502ca68fed672689bb030ca3d0ce3e6e3e07504ceba8c13360e818d779fe4cea4b13a8f86892e5e4e6a7925fe758950639cf8e781d3,2014-10-02 21:45:00.000000 UTC,2014-10-02 21:45:00.000000 UTC,180,0.0,4.45,0.0,0.0,0.0,4.45,Cash,Blue Ribbon Taxi Association Inc.,,
f4c5ad664b8f4f57a135144a1924d5c58cf6d3d9,5374d0ef030fb16407881d6e90debb38ef10a36cba13e5c87fa52468c677d5ada4f0d7a0fcd50bd4598464b3075eb940fc655c97374e3b5c04f7f40d3de6f275,2014-08-22 18:15:00.000000 UTC,2014-08-22 18:15:00.000000 UTC,0,0.0,9.15,0.0,0.0,0.0,9.15,Credit Card,T.A.S. - Payment Only,,
99c6a7c1837860d48c247e80e335585c937703d5,59e1ac971265cac68229ac1e7fb8dacd4aa9d7722df16c2ffc039a515b4acacef28cb04e0edbcdf376faf44862240b2621352159d8a72a887da6f531b016a45a,2014-04-18 20:45:00.000000 UTC,2014-04-18 20:45:00.000000 UTC,720,3.4,10.05,0.0,0.0,0.0,10.05,Cash,,,
7e0a0fcca23872d1fc6a06371446328753a4a191,7d9884ba09acf79b028adc913c4b9d5376c0dcc28335973e93634dcf508c4ea4f558f0c2a3ceb3e2b961bbe6fe2490fda9262d8f31170243774c596b3beb1fd1,2014-08-18 09:00:00.000000 UTC,2014-08-18 09:00:00.000000 UTC,0,0.0,5.45,1.09,0.0,0.0,6.54,Credit Card,Chicago Elite Cab Corp.,,
